DATE,SEASON_ID,CONFERENCE,TEAM,TEAM_LVL,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
2019-10-24,22019,East,Charlotte,중위팀,1,1,0,1.0,1-0,0-0
2019-10-24,22019,East,Miami,상위팀,1,1,0,1.0,1-0,0-0
2019-10-24,22019,East,Milwaukee,상위팀,1,1,0,1.0,0-0,1-0
2019-10-24,22019,East,Orlando,하위팀,1,1,0,1.0,1-0,0-0
2019-10-24,22019,East,Philadelphia,상위팀,1,1,0,1.0,1-0,0-0
2019-10-24,22019,East,Cleveland,하위팀,1,0,1,0.0,0-0,0-1
2019-10-24,22019,East,Detroit,하위팀,2,1,1,0.5,0-1,1-0
2019-10-24,22019,East,Boston,중위팀,1,0,1,0.0,0-0,0-1
2019-10-24,22019,East,Brooklyn,중위팀,1,0,1,0.0,0-1,0-0
2019-10-24,22019,East,Chicago,중위팀,1,0,1,0.0,0-0,0-1
2019-10-24,22019,East,Washington,중위팀,1,0,1,0.0,0-0,0-1
2019-10-24,22019,East,New York,중위팀,1,0,1,0.0,0-0,0-1
2019-10-24,22019,East,Toronto,중위팀,1,1,0,1.0,1-0,0-0
2019-10-25,22019,East,Orlando,하위팀,1,1,0,1.0,1-0,0-0
2019-10-25,22019,East,Philadelphia,상위팀,1,1,0,1.0,1-0,0-0
2019-10-25,22019,East,Boston,중위팀,2,1,1,0.5,1-0,0-1
2019-10-25,22019,East,Brooklyn,중위팀,2,1,1,0.5,1-1,0-0
2019-10-25,22019,East,Atlanta,중위팀,1,1,0,1.0,0-0,1-0
2019-10-25,22019,East,Chicago,중위팀,2,1,1,0.5,0-0,1-1
2019-10-25,22019,East,Washington,중위팀,2,1,1,0.5,0-0,1-1
2019-10-25,22019,East,Toronto,중위팀,2,1,1,0.5,1-0,0-1
2019-10-25,22019,East,New York,중위팀,2,0,2,0.0,0-0,0-2
2019-10-25,22019,East,Cleveland,하위팀,1,0,1,0.0,0-0,0-1
2019-10-25,22019,East,Indiana,중위팀,1,0,1,0.0,0-1,0-0
2019-10-25,22019,East,Milwaukee,상위팀,1,1,0,1.0,0-0,1-0
2019-10-25,22019,East,Detroit,하위팀,2,1,1,0.5,0-1,1-0
2019-10-25,22019,East,Miami,상위팀,1,1,0,1.0,1-0,0-0
2019-10-25,22019,East,Charlotte,중위팀,2,1,1,0.5,1-1,0-0
2019-10-25,22019,West,Memphis,중위팀,2,0,2,0.0,0-1,0-1
2019-10-25,22019,West,Houston,하위팀,1,0,1,0.0,0-1,0-0
2019-10-25,22019,West,Golden State,중위팀,1,0,1,0.0,0-1,0-0
2019-10-25,22019,West,Sacramento,중위팀,2,0,2,0.0,0-1,0-1
2019-10-25,22019,West,Oklahoma City,하위팀,2,0,2,0.0,0-1,0-1
2019-10-25,22019,West,New Orleans,중위팀,2,0,2,0.0,0-1,0-1
2019-10-25,22019,West,Utah,상위팀,2,1,1,0.5,1-0,0-1
2019-10-25,22019,West,Portland,중위팀,2,1,1,0.5,0-1,1-0
2019-10-25,22019,West,Phoenix,상위팀,2,1,1,0.5,1-0,0-1
2019-10-25,22019,West,L.A. Lakers,중위팀,2,1,1,0.5,1-0,0-1
2019-10-25,22019,West,San Antonio,중위팀,1,1,0,1.0,1-0,0-0
2019-10-25,22019,West,Minnesota,중위팀,2,2,0,1.0,0-0,2-0
2019-10-25,22019,West,L.A. Clippers,,2,2,0,1.0,1-0,1-0
2019-10-25,22019,West,Dallas,중위팀,2,2,0,1.0,1-0,1-0
2019-10-25,22019,West,Denver,상위팀,2,2,0,1.0,1-0,1-0
2019-10-26,22019,West,Oklahoma City,하위팀,2,0,2,0.0,0-1,0-1
2019-10-26,22019,East,Atlanta,중위팀,2,2,0,1.0,1-0,1-0
2019-10-26,22019,East,Miami,상위팀,2,2,0,1.0,1-0,1-0
2019-10-26,22019,East,Philadelphia,상위팀,2,2,0,1.0,1-0,1-0
2019-10-26,22019,East,Boston,중위팀,3,2,1,0.667,1-0,1-1
2019-10-26,22019,East,Toronto,중위팀,3,2,1,0.667,1-0,1-1
2019-10-26,22019,East,Brooklyn,중위팀,2,1,1,0.5,1-1,0-0
2019-10-26,22019,East,Charlotte,중위팀,2,1,1,0.5,1-1,0-0
2019-10-26,22019,East,Cleveland,하위팀,2,1,1,0.5,1-0,0-1
2019-10-26,22019,East,Milwaukee,상위팀,2,1,1,0.5,0-1,1-0
2019-10-26,22019,East,Orlando,하위팀,2,1,1,0.5,1-0,0-1
2019-10-26,22019,East,Chicago,중위팀,3,1,2,0.3329999999999999,0-1,1-1
2019-10-26,22019,East,Detroit,하위팀,3,1,2,0.3329999999999999,0-2,1-0
2019-10-26,22019,East,Washington,중위팀,3,1,2,0.3329999999999999,0-0,1-2
2019-10-26,22019,East,New York,중위팀,3,0,3,0.0,0-1,0-2
2019-10-26,22019,East,Indiana,중위팀,2,0,2,0.0,0-1,0-1
2019-10-26,22019,West,Minnesota,중위팀,2,2,0,1.0,0-0,2-0
2019-10-26,22019,West,San Antonio,중위팀,2,2,0,1.0,2-0,0-0
2019-10-26,22019,West,L.A. Clippers,,3,2,1,0.667,1-0,1-1
2019-10-26,22019,West,Phoenix,상위팀,3,2,1,0.667,2-0,0-1
2019-10-26,22019,West,Utah,상위팀,3,2,1,0.667,2-0,0-1
2019-10-26,22019,West,Dallas,중위팀,2,2,0,1.0,1-0,1-0
2019-10-26,22019,West,Houston,하위팀,2,1,1,0.5,1-1,0-0
2019-10-26,22019,West,L.A. Lakers,중위팀,2,1,1,0.5,1-0,0-1
2019-10-26,22019,West,Portland,중위팀,2,1,1,0.5,0-1,1-0
2019-10-26,22019,West,New Orleans,중위팀,3,0,3,0.0,0-1,0-2
2019-10-26,22019,West,Sacramento,중위팀,3,0,3,0.0,0-1,0-2
2019-10-26,22019,West,Memphis,중위팀,2,0,2,0.0,0-1,0-1
2019-10-26,22019,West,Golden State,중위팀,1,0,1,0.0,0-1,0-0
2019-10-26,22019,West,Denver,상위팀,2,2,0,1.0,1-0,1-0
2019-10-27,22019,East,Philadelphia,상위팀,2,2,0,1.0,1-0,1-0
